population	dam	sire	id	cohort	block_germination	date_sow	date_germination	block_garden	initial_size_mm	winter_survival_boolean	time_to_germination_days
WFM	WFM04	WFM14	WFM_04_14	north	north_A	2015-08-03	2015-08-11	north_A	35.15	TRUE	8
NMT	NMT12	NMT10	NMT_12_10	north	north_A	2015-08-03	2015-08-11	north_A	29.2	TRUE	8
LIJ	LIJ01	LIJ14	LIJ_01_14	north	north_A	2015-08-03	2015-08-11	north_A	24.79	FALSE	8
CUR	CUR15	CUR13	CUR_15_13	north	north_A	2015-08-03	2015-08-13	north_A	41.06	TRUE	10
LIJ	LIJ02	LIJ14	LIJ_02_14	north	north_A	2015-08-03	2015-08-10	north_A	35.39	TRUE	7
WFM	WFM08	WFM05	WFM_08_05	north	north_A	2015-08-03	2015-08-11	north_A	43.01	TRUE	8
RCK	RCK10	RCK09	RCK_10_09	north	north_A	2015-08-03	2015-08-16	north_A	31.92	TRUE	13
NMT	NMT14	NMT12	NMT_14_12	north	north_A	2015-08-03	2015-08-10	north_A	44.92	TRUE	7
WFM	WFM08	WFM07	WFM_08_07	north	north_A	2015-08-03	2015-08-11	north_A	28.99	TRUE	8
LIJ	LIJ13	LIJ11	LIJ_13_11	north	north_A	2015-08-03	2015-08-14	north_A	36.69	TRUE	11
CUR	CUR14	CUR11	CUR_14_11	north	north_A	2015-08-03	2015-08-11	north_A	45.66	TRUE	8
LIJ	LIJ07	LIJ02	LIJ_07_02	north	north_A	2015-08-03	2015-08-25	north_A	20.53	FALSE	22
LIJ	LIJ12	LIJ10	LIJ_12_10	north	north_A	2015-08-03	2015-08-12	north_A	36.37	TRUE	9
CUR	CUR08	CUR05	CUR_08_05	north	north_A	2015-08-03	2015-08-10	north_A	44.29	TRUE	7
NMT	NMT09	NMT06	NMT_09_06	north	north_A	2015-08-03	2015-08-12	north_A	40.72	TRUE	9
RCK	RCK10	RCK07	RCK_10_07	north	north_A	2015-08-03	2015-08-11	north_A	37.22	FALSE	8
LIJ	LIJ12	LIJ08	LIJ_12_08	north	north_A	2015-08-03	2015-08-11	north_A	31.97	TRUE	8
NMT	NMT15	NMT13	NMT_15_13	north	north_A	2015-08-03	2015-08-11	north_A	34.46	TRUE	8
NMT	NMT13	NMT11	NMT_13_11	north	north_A	2015-08-03	2015-08-10	north_A	39.78	TRUE	7
RCK	RCK01	RCK13	RCK_01_13	north	north_A	2015-08-03	2015-08-16	north_A	25.13	TRUE	13
WFM	WFM01	WFM14	WFM_01_14	north	north_A	2015-08-03	2015-08-11	north_A	42.41	TRUE	8
WFM	WFM03	WFM15	WFM_03_15	north	north_A	2015-08-03	2015-08-10	north_A	35.95	TRUE	7
NMT	NMT03	NMT02	NMT_03_02	north	north_A	2015-08-03	2015-08-10	north_A	51.92	TRUE	7
NMT	NMT12	NMT09	NMT_12_09	north	north_A	2015-08-03	2015-08-11	north_A	45.14	TRUE	8
LIJ	LIJ15	LIJ11	LIJ_15_11	north	north_A	2015-08-03	2015-08-11	north_A	35.32	TRUE	8
WFM	WFM10	WFM06	WFM_10_06	north	north_A	2015-08-03	2015-08-09	north_A	36.48	TRUE	6
CUR	CUR12	CUR08	CUR_12_08	north	north_A	2015-08-03	2015-08-09	north_A	35.66	TRUE	6
NMT	NMT13	NMT10	NMT_13_10	north	north_A	2015-08-03	2015-08-09	north_A	34.57	TRUE	6
RCK	RCK12	RCK09	RCK_12_09	north	north_A	2015-08-03	2015-08-13	north_A	37.23	FALSE	10
CUR	CUR14	CUR10	CUR_14_10	north	north_A	2015-08-03	2015-08-16	north_A	29.57	FALSE	13
WFM	WFM06	WFM02	WFM_06_02	north	north_A	2015-08-03	2015-08-10	north_A	27.58	TRUE	7
LIJ	LIJ12	LIJ09	LIJ_12_09	north	north_A	2015-08-03	2015-08-10	north_A	38.81	TRUE	7
NMT	NMT01	NMT15	NMT_01_15	north	north_A	2015-08-03	2015-08-11	north_A	36.11	TRUE	8
CUR	CUR13	CUR11	CUR_13_11	north	north_A	2015-08-03	2015-08-11	north_A	37.05	TRUE	8
LIJ	LIJ03	LIJ14	LIJ_03_14	north	north_A	2015-08-03	2015-08-11	north_A	34.06	TRUE	8
LIJ	LIJ08	LIJ06	LIJ_08_06	north	north_A	2015-08-03	2015-08-12	north_A	30.49	TRUE	9
RCK	RCK02	RCK14	RCK_02_14	north	north_A	2015-08-03	2015-08-13	north_A	33.62	TRUE	10
NMT	NMT08	NMT07	NMT_08_07	north	north_A	2015-08-03	2015-08-17	north_A	26.04	TRUE	14
WFM	WFM11	WFM08	WFM_11_08	north	north_A	2015-08-03	2015-08-19	north_A	31.53	TRUE	16
LIJ	LIJ11	LIJ08	LIJ_11_08	north	north_A	2015-08-03	2015-08-14	north_A	34.63	TRUE	11
NMT	NMT03	NMT01	NMT_03_01	north	north_A	2015-08-03	2015-08-09	north_A	32.55	TRUE	6
RCK	RCK14	RCK13	RCK_14_13	north	north_A	2015-08-03	2015-08-16	north_A	17.4	TRUE	13
LIJ	LIJ01	LIJ12	LIJ_01_12	north	north_A	2015-08-03	2015-08-11	north_A	32.33	TRUE	8
CUR	CUR05	CUR02	CUR_05_02	north	north_A	2015-08-03	2015-08-10	north_A	42.89	TRUE	7
NMT	NMT06	NMT03	NMT_06_03	north	north_A	2015-08-03	2015-08-10	north_A	38.8	TRUE	7
RCK	RCK04	RCK02	RCK_04_02	north	north_A	2015-08-03	2015-08-25	north_A	NA	FALSE	22
CUR	CUR15	CUR12	CUR_15_12	north	north_A	2015-08-03	2015-08-25	north_A	25.72	FALSE	22
CUR	CUR02	CUR13	CUR_02_13	north	north_A	2015-08-03	2015-08-10	north_A	38.55	TRUE	7
NMT	NMT08	NMT05	NMT_08_05	north	north_A	2015-08-03	2015-08-10	north_A	43.84	TRUE	7
RCK	RCK03	RCK02	RCK_03_02	north	north_A	2015-08-03	2015-08-17	north_A	NA	FALSE	14
RCK	RCK02	RCK15	RCK_02_15	north	north_A	2015-08-03	2015-08-11	north_A	38.54	TRUE	8
NMT	NMT04	NMT03	NMT_04_03	north	north_A	2015-08-03	2015-08-11	north_A	43.67	TRUE	8
CUR	CUR03	CUR15	CUR_03_15	north	north_A	2015-08-03	2015-08-12	north_A	41.74	TRUE	9
RCK	RCK13	RCK10	RCK_13_10	north	north_A	2015-08-03	2015-08-25	north_A	10.75	FALSE	22
NMT	NMT14	NMT13	NMT_14_13	north	north_A	2015-08-03	2015-08-10	north_A	44.83	TRUE	7
NMT	NMT11	NMT09	NMT_11_09	north	north_A	2015-08-03	2015-08-10	north_A	36.33	TRUE	7
NMT	NMT02	NMT14	NMT_02_14	north	north_A	2015-08-03	2015-08-10	north_A	43.14	TRUE	7
NMT	NMT10	NMT07	NMT_10_07	north	north_A	2015-08-03	2015-08-09	north_A	41.5	TRUE	6
RCK	RCK08	RCK07	RCK_08_07	north	north_A	2015-08-03	2015-08-11	north_A	35.22	FALSE	8
NMT	NMT02	NMT15	NMT_02_15	north	north_A	2015-08-03	2015-08-18	north_A	32.44	TRUE	15
WFM	WFM01	WFM13	WFM_01_13	north	north_A	2015-08-03	2015-08-10	north_A	43.96	TRUE	7
NMT	NMT07	NMT06	NMT_07_06	north	north_A	2015-08-03	2015-08-10	north_A	26.17	TRUE	7
NMT	NMT01	NMT13	NMT_01_13	north	north_A	2015-08-03	2015-08-11	north_A	39.96	TRUE	8
WFM	WFM07	WFM04	WFM_07_04	north	north_A	2015-08-03	2015-08-11	north_A	29.88	TRUE	8
WFM	WFM14	WFM10	WFM_14_10	north	north_A	2015-08-03	2015-08-09	north_A	28.67	TRUE	6
CUR	CUR07	CUR05	CUR_07_05	north	north_A	2015-08-03	2015-08-09	north_A	25	TRUE	6
LIJ	LIJ15	LIJ12	LIJ_15_12	north	north_A	2015-08-03	2015-08-16	north_A	10.85	FALSE	13
RCK	RCK09	RCK06	RCK_09_06	north	north_A	2015-08-03	2015-08-25	north_A	NA	FALSE	22
CUR	CUR03	CUR01	CUR_03_01	north	north_A	2015-08-03	2015-08-10	north_A	41.43	TRUE	7
LIJ	LIJ06	LIJ01	LIJ_06_01	north	north_A	2015-08-03	2015-08-11	north_A	31.39	TRUE	8
NMT	NMT12	NMT11	NMT_12_11	north	north_A	2015-08-03	2015-08-14	north_A	38.58	TRUE	11
WFM	WFM15	WFM13	WFM_15_13	north	north_A	2015-08-03	2015-08-09	north_A	40.81	TRUE	6
WFM	WFM08	WFM06	WFM_08_06	north	north_A	2015-08-03	2015-08-11	north_A	36.49	TRUE	8
NMT	NMT04	NMT01	NMT_04_01	north	north_A	2015-08-03	2015-08-10	north_A	35.91	TRUE	7
CUR	CUR10	CUR07	CUR_10_07	north	north_A	2015-08-03	2015-08-10	north_A	37.81	FALSE	7
NMT	NMT06	NMT04	NMT_06_04	north	north_A	2015-08-03	2015-08-10	north_A	49.47	TRUE	7
LIJ	LIJ09	LIJ07	LIJ_09_07	north	north_A	2015-08-03	2015-08-25	north_A	NA	FALSE	22
WFM	WFM02	WFM15	WFM_02_15	north	north_A	2015-08-03	2015-08-11	north_A	36.25	TRUE	8
CUR	CUR02	CUR15	CUR_02_15	north	north_A	2015-08-03	2015-08-12	north_A	27.38	FALSE	9
NMT	NMT11	NMT10	NMT_11_10	north	north_A	2015-08-03	2015-08-09	north_A	32.72	TRUE	6
WFM	WFM11	WFM10	WFM_11_10	north	north_A	2015-08-03	2015-08-11	north_A	34.05	TRUE	8
NMT	NMT04	NMT02	NMT_04_02	north	north_A	2015-08-03	2015-08-11	north_A	34.7	TRUE	8
CUR	CUR15	CUR11	CUR_15_11	north	north_A	2015-08-03	2015-08-12	north_A	32.78	TRUE	9
WFM	WFM13	WFM09	WFM_13_09	north	north_A	2015-08-03	2015-08-10	north_A	34.35	TRUE	7
LIJ	LIJ14	LIJ12	LIJ_14_12	north	north_A	2015-08-03	2015-08-11	north_A	25.87	TRUE	8
RCK	RCK09	RCK07	RCK_09_07	north	north_A	2015-08-03	2015-08-18	north_A	NA	FALSE	15
LIJ	LIJ13	LIJ10	LIJ_13_10	north	north_A	2015-08-03	2015-08-12	north_A	NA	FALSE	9
NMT	NMT02	NMT01	NMT_02_01	north	north_A	2015-08-03	2015-08-09	north_A	33.11	TRUE	6
NMT	NMT10	NMT09	NMT_10_09	north	north_A	2015-08-03	2015-08-10	north_A	26.08	TRUE	7
RCK	RCK03	RCK15	RCK_03_15	north	north_A	2015-08-03	2015-08-13	north_A	18.67	TRUE	10
RCK	RCK09	RCK08	RCK_09_08	north	north_A	2015-08-03	2015-08-17	NA	NA	NA	14
WFM	WFM04	WFM02	WFM_04_02	north	north_A	2015-08-03	2015-08-17	north_A	17.95	TRUE	14
NMT	NMT03	NMT15	NMT_03_15	north	north_A	2015-08-03	2015-08-11	north_A	32.19	TRUE	8
WFM	WFM12	WFM10	WFM_12_10	north	north_A	2015-08-03	2015-08-10	north_A	28.61	TRUE	7
CUR	CUR01	CUR12	CUR_01_12	north	north_A	2015-08-03	2015-08-11	north_A	22.3	TRUE	8
CUR	CUR02	CUR14	CUR_02_14	north	north_A	2015-08-03	2015-08-25	north_A	3.25	FALSE	22
NMT	NMT09	NMT08	NMT_09_08	north	north_A	2015-08-03	2015-08-10	north_A	25.49	FALSE	7
CUR	CUR07	CUR03	CUR_07_03	north	north_A	2015-08-03	2015-08-10	north_A	31.27	FALSE	7
RCK	RCK06	RCK05	RCK_06_05	north	north_A	2015-08-03	2015-08-13	north_A	28.27	TRUE	10
NMT	NMT06	NMT05	NMT_06_05	north	north_A	2015-08-03	2015-08-09	north_A	25.53	TRUE	6
CUR	CUR10	CUR06	CUR_10_06	north	north_A	2015-08-03	2015-08-09	north_A	28.38	TRUE	6
WFM	WFM07	WFM05	WFM_07_05	north	north_A	2015-08-03	2015-08-09	north_A	30.01	TRUE	6
RCK	RCK04	RCK01	RCK_04_01	north	north_A	2015-08-03	2015-08-14	north_A	NA	FALSE	11
CUR	CUR06	CUR03	CUR_06_03	north	north_A	2015-08-03	2015-08-14	north_A	27.01	TRUE	11
NMT	NMT05	NMT02	NMT_05_02	north	north_A	2015-08-03	2015-08-10	north_A	45.15	TRUE	7
WFM	WFM14	WFM11	WFM_14_11	north	north_A	2015-08-03	2015-08-10	north_A	36.17	FALSE	7
LIJ	LIJ06	LIJ02	LIJ_06_02	north	north_A	2015-08-03	2015-08-11	north_A	30.58	TRUE	8
LIJ	LIJ05	LIJ15	LIJ_05_15	north	north_A	2015-08-03	2015-08-25	north_A	12.64	TRUE	22
WFM	WFM06	WFM03	WFM_06_03	north	north_A	2015-08-03	2015-08-10	north_A	26.92	TRUE	7
