,Demography site?,Population genomic dataset?,Am Nat Gene Flow dataset?,Experimental gene flow dataset,Near weather station,ENVIRONMENTAL EXTREME??,Lat,Lon,Elev
Hauser Creek,Yes,Yes,,Focal,,,32.65822,-116.53235,788
Kitchen Creek,,,,,,,32.75206,-116.45221,1173
Cottonwood Creek,Yes,,,,,,32.80122,-116.50194,
Cuyamaca Rancho (CU),Yes,,,,,,32.89913,-116.58647,1386
Sweetwater River,Yes,Yes,,Focal,,,32.89928,-116.5849,
Chariot Canyon,,,,,Borrego Springs (18 miles); Santa Ysabel (13 miles),,33.03596,-116.53623,
Grade Road - to Palomar Mountain SP,,,,,,,33.31392,-116.87129,1500
French Creek - Palomar Mountain SP,,,,,,,33.35229,-116.91394,1320
Trabuco Creek,,,,,,,33.67434,-117.54446,
Whitewater Canyon,Yes,Yes,,Donor,,,33.99329,-116.66267,696
Arroyo Sequit,,Yes,,Donor,,,34.06511,-118.93279,
Mill Creek,Yes,,,,,,34.07808,-116.87558,1992
San Antonio Canyon,,,,,,,34.17461,-117.67484,
West Fork Mojave River,Yes,,,Donor,,,34.28425,-117.37539,1087
Trib to W Fork Mojave River,,,,,,,34.28497,-117.37862,
Aliso Canyon,,,,,,,34.46359,-118.15753,
Manzana Creek,,Yes,,,,,34.77171,-119.94363,
Clear Creek at Havilah Fire Station,,,,,,,35.51081,-118.5182,
North Fork Middle Fork Tule,Yes,,,,,,36.20081,-118.65092,1284
South Fork,,,,,,,36.35003,-118.76211,1094.54
Paradise Creek,Yes,Yes,Yes,,Lindcove (27 miles),,36.51776,-118.75877,887
North Fork (seep),,,,,,,36.52105,-118.89359,464.82
Redwood Creek,Yes,Yes,,Focal,,,36.69096,-118.90961,1683.72
Baker Creek,,Yes,,,,,37.15761,-118.3334,1432
Roadside seep near Fin Gold Creek,,,,,,,37.17324,-119.63356,
Saginaw Creek,,,,,,,37.2033,-119.4137,1207.62
Saratoga,,,,,,,37.25296389,-122.0433139,164
Scott Creek,,,,,,,37.259874,-122.13351,30.48
Fish Creek,,,,,,,37.26082,-119.35577,1404.21
Steven's Creek - Slide,,,,,,,37.279653,-122.091494,167.64
Steven's Creek - Cooley,,,,,,,37.286892,-122.072182,167.64
RSA,,,,,,,37.33011944,-122.0868222,120
Hamilton/Lick,,,,,,,37.335453,-122.096459,
Steven's Creek LT-14,,,,,,,37.348326,-122.175908,
Unknown Creek (seep feeding Chiquito Creek),,,,,,,37.3592,-119.34498,1140.56
Willow Creek,,,,,,,37.36711,-119.54033,1319.17
Little Jackass Creek,,,,,,,37.39857,-119.33656,1452.98
Ponderosa Basin,,,,,,,37.46915,-119.7797639,968
Mariposa Creek (in Mariposa),,,,,,,37.487,-119.969,590
Snow Creek/Triangle Road,,,,,,,37.517,-119.837,950
"Midpines County Park, Bear Creek",,,,,,,37.526,-119.919,860
Wawona,Yes,Yes,,Donor,,,37.539,-119.654,1208
Carlon (SC),Yes,,,,,,37.539,-119.654,1208
Jersey Dale,,,,,,,37.56310278,-119.8572806,1167
Crane-low,,,,,,,37.677,-119.776,603
Crane Creek,,,,,,,37.677,-119.776,
Foresta,,,,,,,37.699,-119.756,1303
Sentenial,,,,,,,37.733,-119.603,1211
Tenaya Creek - Yosemite Valley,,,,,,,37.743,-119.562,1210
Buck Meadows (BU),Yes,,,,,,37.7769,-120.063,831.8
Buck Meadows- Moore Creek,Yes,,,,,,37.777,-120.064,830
Chabot,,,,,,,37.79792778,-122.1509639,182
Carlon,Yes,,,Donor,,,37.81006667,-119.8568,1344.47
Hardin Flat,,,,,,,37.811827,-119.939396,
"Big Creek-Highway 120, west of Mather",,,,,,,37.8143,-120.1318,975.36
Big Creek,,,,,,,37.8143,-120.1318,30.48
"South Fork (of Tuolumne River, near Carlon Day Use Area)",Yes,,,,,,37.815,-119.866,1320
Rainbow Pool,Yes,,,,,,37.8188,-120.0074333,862.2792
HP,,,,,,,37.83778056,-122.1775861,226
Evergreen Rd,,,,,,,37.857,-119.864,1335
Grouse Creek,,,,,,,37.861031,-119.780159,
Pine Canyon,,,,,,,37.88281389,-121.9755722,178
Wildwood,,,,,,,37.890028,-119.704971,
