"Pop","Dam","Sire","id","Cohort","GermBlock","Germinate","SowDate","GermDate","MainBlock","InitialSize","WinterSurv"
"WFM","WFM04","WFM14","WFM_04_14","north","north_A","Y","2015-08-03","2015-08-11","north_A",35.15,"YES"
"NMT","NMT12","NMT10","NMT_12_10","north","north_A","Y","2015-08-03","2015-08-11","north_A",29.2,"YES"
"LIJ","LIJ01","LIJ14","LIJ_01_14","north","north_A","Y","2015-08-03","2015-08-11","north_A",24.79,"NO"
"CUR","CUR15","CUR13","CUR_15_13","north","north_A","Y","2015-08-03","2015-08-13","north_A",41.06,"YES"
"LIJ","LIJ02","LIJ14","LIJ_02_14","north","north_A","Y","2015-08-03","2015-08-10","north_A",35.39,"YES"
"WFM","WFM08","WFM05","WFM_08_05","north","north_A","Y","2015-08-03","2015-08-11","north_A",43.01,"YES"
"RCK","RCK10","RCK09","RCK_10_09","north","north_A","Y","2015-08-03","2015-08-16","north_A",31.92,"YES"
"NMT","NMT14","NMT12","NMT_14_12","north","north_A","Y","2015-08-03","2015-08-10","north_A",44.92,"YES"
"LIJ","LIJ10","LIJ08","LIJ_10_08","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"WFM","WFM08","WFM07","WFM_08_07","north","north_A","Y","2015-08-03","2015-08-11","north_A",28.99,"YES"
"LIJ","LIJ13","LIJ11","LIJ_13_11","north","north_A","Y","2015-08-03","2015-08-14","north_A",36.69,"YES"
"CUR","CUR14","CUR11","CUR_14_11","north","north_A","Y","2015-08-03","2015-08-11","north_A",45.66,"YES"
"LIJ","LIJ07","LIJ02","LIJ_07_02","north","north_A","Y","2015-08-03","2015-08-25","north_A",20.53,"NO"
"LIJ","LIJ12","LIJ10","LIJ_12_10","north","north_A","Y","2015-08-03","2015-08-12","north_A",36.37,"YES"
"CUR","CUR08","CUR05","CUR_08_05","north","north_A","Y","2015-08-03","2015-08-10","north_A",44.29,"YES"
"NMT","NMT09","NMT06","NMT_09_06","north","north_A","Y","2015-08-03","2015-08-12","north_A",40.72,"YES"
"RCK","RCK10","RCK07","RCK_10_07","north","north_A","Y","2015-08-03","2015-08-11","north_A",37.22,"NO"
"CUR","CUR13","CUR10","CUR_13_10","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"LIJ","LIJ12","LIJ08","LIJ_12_08","north","north_A","Y","2015-08-03","2015-08-11","north_A",31.97,"YES"
"NMT","NMT15","NMT13","NMT_15_13","north","north_A","Y","2015-08-03","2015-08-11","north_A",34.46,"YES"
"NMT","NMT13","NMT11","NMT_13_11","north","north_A","Y","2015-08-03","2015-08-10","north_A",39.78,"YES"
"RCK","RCK01","RCK13","RCK_01_13","north","north_A","Y","2015-08-03","2015-08-16","north_A",25.13,"YES"
"WFM","WFM01","WFM14","WFM_01_14","north","north_A","Y","2015-08-03","2015-08-11","north_A",42.41,"YES"
"WFM","WFM03","WFM15","WFM_03_15","north","north_A","Y","2015-08-03","2015-08-10","north_A",35.95,"YES"
"NMT","NMT03","NMT02","NMT_03_02","north","north_A","Y","2015-08-03","2015-08-10","north_A",51.92,"YES"
"NMT","NMT12","NMT09","NMT_12_09","north","north_A","Y","2015-08-03","2015-08-11","north_A",45.14,"YES"
"LIJ","LIJ15","LIJ11","LIJ_15_11","north","north_A","Y","2015-08-03","2015-08-11","north_A",35.32,"YES"
"WFM","WFM10","WFM06","WFM_10_06","north","north_A","Y","2015-08-03","2015-08-09","north_A",36.48,"YES"
"CUR","CUR12","CUR08","CUR_12_08","north","north_A","Y","2015-08-03","2015-08-09","north_A",35.66,"YES"
"NMT","NMT13","NMT10","NMT_13_10","north","north_A","Y","2015-08-03","2015-08-09","north_A",34.57,"YES"
"RCK","RCK06","RCK03","RCK_06_03","north","north_A","N","2015-08-03",NA,"",NA,NA
"RCK","RCK12","RCK09","RCK_12_09","north","north_A","Y","2015-08-03","2015-08-13","north_A",37.23,"NO"
"CUR","CUR14","CUR10","CUR_14_10","north","north_A","Y","2015-08-03","2015-08-16","north_A",29.57,"NO"
"WFM","WFM06","WFM02","WFM_06_02","north","north_A","Y","2015-08-03","2015-08-10","north_A",27.58,"YES"
"LIJ","LIJ12","LIJ09","LIJ_12_09","north","north_A","Y","2015-08-03","2015-08-10","north_A",38.81,"YES"
"NMT","NMT01","NMT15","NMT_01_15","north","north_A","Y","2015-08-03","2015-08-11","north_A",36.11,"YES"
"CUR","CUR13","CUR11","CUR_13_11","north","north_A","Y","2015-08-03","2015-08-11","north_A",37.05,"YES"
"LIJ","LIJ03","LIJ14","LIJ_03_14","north","north_A","Y","2015-08-03","2015-08-11","north_A",34.06,"YES"
"LIJ","LIJ08","LIJ06","LIJ_08_06","north","north_A","Y","2015-08-03","2015-08-12","north_A",30.49,"YES"
"RCK","RCK02","RCK14","RCK_02_14","north","north_A","Y","2015-08-03","2015-08-13","north_A",33.62,"YES"
"RCK","RCK03","RCK01","RCK_03_01","north","north_A","N","2015-08-03",NA,"",NA,NA
"NMT","NMT08","NMT07","NMT_08_07","north","north_A","Y","2015-08-03","2015-08-17","north_A",26.04,"YES"
"WFM","WFM11","WFM08","WFM_11_08","north","north_A","Y","2015-08-03","2015-08-19","north_A",31.53,"YES"
"LIJ","LIJ11","LIJ08","LIJ_11_08","north","north_A","Y","2015-08-03","2015-08-14","north_A",34.63,"YES"
"NMT","NMT03","NMT01","NMT_03_01","north","north_A","Y","2015-08-03","2015-08-09","north_A",32.55,"YES"
"RCK","RCK14","RCK13","RCK_14_13","north","north_A","Y","2015-08-03","2015-08-16","north_A",17.4,"YES"
"LIJ","LIJ01","LIJ12","LIJ_01_12","north","north_A","Y","2015-08-03","2015-08-11","north_A",32.33,"YES"
"CUR","CUR05","CUR02","CUR_05_02","north","north_A","Y","2015-08-03","2015-08-10","north_A",42.89,"YES"
"NMT","NMT06","NMT03","NMT_06_03","north","north_A","Y","2015-08-03","2015-08-10","north_A",38.8,"YES"
"RCK","RCK04","RCK02","RCK_04_02","north","north_A","Y","2015-08-03","2015-08-25","north_A",NA,"NO"
"CUR","CUR15","CUR12","CUR_15_12","north","north_A","Y","2015-08-03","2015-08-25","north_A",25.72,"NO"
"CUR","CUR02","CUR13","CUR_02_13","north","north_A","Y","2015-08-03","2015-08-10","north_A",38.55,"YES"
"NMT","NMT08","NMT05","NMT_08_05","north","north_A","Y","2015-08-03","2015-08-10","north_A",43.84,"YES"
"RCK","RCK03","RCK02","RCK_03_02","north","north_A","Y","2015-08-03","2015-08-17","north_A",NA,"NO"
"RCK","RCK02","RCK15","RCK_02_15","north","north_A","Y","2015-08-03","2015-08-11","north_A",38.54,"YES"
"NMT","NMT04","NMT03","NMT_04_03","north","north_A","Y","2015-08-03","2015-08-11","north_A",43.67,"YES"
"CUR","CUR03","CUR15","CUR_03_15","north","north_A","Y","2015-08-03","2015-08-12","north_A",41.74,"YES"
"RCK","RCK13","RCK10","RCK_13_10","north","north_A","Y","2015-08-03","2015-08-25","north_A",10.75,"NO"
"NMT","NMT14","NMT13","NMT_14_13","north","north_A","Y","2015-08-03","2015-08-10","north_A",44.83,"YES"
"NMT","NMT11","NMT09","NMT_11_09","north","north_A","Y","2015-08-03","2015-08-10","north_A",36.33,"YES"
"WFM","WFM07","WFM03","WFM_07_03","north","north_A","N","2015-08-03",NA,"",NA,NA
"NMT","NMT02","NMT14","NMT_02_14","north","north_A","Y","2015-08-03","2015-08-10","north_A",43.14,"YES"
"NMT","NMT10","NMT07","NMT_10_07","north","north_A","Y","2015-08-03","2015-08-09","north_A",41.5,"YES"
"RCK","RCK08","RCK07","RCK_08_07","north","north_A","Y","2015-08-03","2015-08-11","north_A",35.22,"NO"
"CUR","CUR03","CUR14","CUR_03_14","north","north_A","N","2015-08-03",NA,"",NA,NA
"NMT","NMT02","NMT15","NMT_02_15","north","north_A","Y","2015-08-03","2015-08-18","north_A",32.44,"YES"
"WFM","WFM01","WFM13","WFM_01_13","north","north_A","Y","2015-08-03","2015-08-10","north_A",43.96,"YES"
"RCK","RCK11","RCK10","RCK_11_10","north","north_A","N","2015-08-03",NA,"north_A",NA,"NO"
"NMT","NMT07","NMT06","NMT_07_06","north","north_A","Y","2015-08-03","2015-08-10","north_A",26.17,"YES"
"NMT","NMT01","NMT13","NMT_01_13","north","north_A","Y","2015-08-03","2015-08-11","north_A",39.96,"YES"
"WFM","WFM07","WFM04","WFM_07_04","north","north_A","Y","2015-08-03","2015-08-11","north_A",29.88,"YES"
"WFM","WFM14","WFM10","WFM_14_10","north","north_A","Y","2015-08-03","2015-08-09","north_A",28.67,"YES"
"CUR","CUR07","CUR05","CUR_07_05","north","north_A","Y","2015-08-03","2015-08-09","north_A",25,"YES"
"LIJ","LIJ15","LIJ12","LIJ_15_12","north","north_A","Y","2015-08-03","2015-08-16","north_A",10.85,"NO"
"LIJ","LIJ11","LIJ09","LIJ_11_09","north","north_A","N","2015-08-03",NA,"",NA,NA
"RCK","RCK09","RCK06","RCK_09_06","north","north_A","Y","2015-08-03","2015-08-25","north_A",NA,"NO"
"CUR","CUR03","CUR01","CUR_03_01","north","north_A","Y","2015-08-03","2015-08-10","north_A",41.43,"YES"
"LIJ","LIJ06","LIJ01","LIJ_06_01","north","north_A","Y","2015-08-03","2015-08-11","north_A",31.39,"YES"
"NMT","NMT12","NMT11","NMT_12_11","north","north_A","Y","2015-08-03","2015-08-14","north_A",38.58,"YES"
"WFM","WFM15","WFM13","WFM_15_13","north","north_A","Y","2015-08-03","2015-08-09","north_A",40.81,"YES"
"RCK","RCK01","RCK14","RCK_01_14","north","north_A","N","2015-08-03",NA,"",NA,NA
"WFM","WFM08","WFM06","WFM_08_06","north","north_A","Y","2015-08-03","2015-08-11","north_A",36.49,"YES"
"NMT","NMT04","NMT01","NMT_04_01","north","north_A","Y","2015-08-03","2015-08-10","north_A",35.91,"YES"
"CUR","CUR10","CUR07","CUR_10_07","north","north_A","Y","2015-08-03","2015-08-10","north_A",37.81,"NO"
"NMT","NMT06","NMT04","NMT_06_04","north","north_A","Y","2015-08-03","2015-08-10","north_A",49.47,"YES"
"LIJ","LIJ09","LIJ07","LIJ_09_07","north","north_A","Y","2015-08-03","2015-08-25","north_A",NA,"NO"
